"country","hdi","pop2020"
"Yemen","0.4630","29825.9640"
"Guinea-Bissau","0.4610","1968.0010"
"DR Congo","0.4590","89561.4030"
"Mozambique","0.4460","31255.4350"
"Sierra Leone","0.4380","7976.9830"
"Eritrea","0.4340","3546.4210"
"Burkina Faso","0.4340","20903.2730"
"Mali","0.4270","20250.8330"
"Burundi","0.4230","11890.7840"
"South Sudan","0.4130","11193.7250"
"Chad","0.4010","16425.8640"
"Central African Republic","0.3810","4829.7670"
"Niger","0.3770","24206.6440"
